round,date,container,irradiaton,estimates,no.pupae,no.adult,evaluation
E,2020-11-03,2,,2200,2,178,after
E,2020-11-03,3,,2200,17,147,after
E,2020-11-03,4,,2200,3,96,after
E,2020-11-03,5,,2200,8,160,after
E,2020-11-03,6,,2200,16,110,after
E,2020-11-03,7,,2200,10,105,after
E,2020-11-03,8,,2200,10,114,after
E,2020-11-03,9,,2200,3,152,after
E,2020-11-03,10,,2200,10,112,after
E,2020-11-03,11,,2200,5,142,after
E,2020-11-03,12,,2200,4,86,after
E,2020-11-03,13,,2200,6,76,after
E,2020-11-03,14,,2200,5,93,after
E,2020-11-03,15,,2200,11,64,after
F,2020-12-04,1,,2200,5,0,before
F,2020-12-04,2,,2200,10,0,before
F,2020-12-04,3,,2200,18,0,before
F,2020-12-04,4,,2200,10,0,before
F,2020-12-04,5,,2200,23,0,before
F,2020-12-04,6,,2200,14,0,before
F,2020-12-04,7,,2200,26,0,before
F,2020-12-04,8,,2200,20,0,before
F,2020-12-04,9,,2200,16,0,before
F,2020-12-04,10,,2200,14,0,before
F,2020-12-04,11,,2200,20,0,before
F,2020-12-04,12,,2200,30,0,before
F,2020-12-04,13,,2200,18,0,before
F,2020-12-04,14,,2200,15,0,before
F,2020-12-04,15,,2200,10,0,before
F,2020-12-04,1,,2200,5,52,after
F,2020-12-04,2,,2200,6,66,after
F,2020-12-04,3,,2200,6,54,after
F,2020-12-04,4,,2200,8,85,after
F,2020-12-04,5,,2200,11,173,after
F,2020-12-04,6,,2200,8,131,after
F,2020-12-04,7,,2200,13,70,after
F,2020-12-04,8,,2200,4,143,after
F,2020-12-04,9,,2200,4,116,after
F,2020-12-04,10,,2200,7,115,after
F,2020-12-04,11,,2200,14,123,after
F,2020-12-04,12,,2200,12,102,after
F,2020-12-04,13,,2200,8,79,after
F,2020-12-04,14,,2200,6,55,after
F,2020-12-04,15,,2200,7,67,after
