,ID,SIT.BG.Traps,date_collection,date_release,sex,species,source,trap,number,days,treatment,lat.r,lon.r,lat.t,lon.t,distance
273,blue 6,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,6,0,9,release,29.899722,-81.301944,29.89944444,-81.29888889,296.441624
275,blue 6,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,6,0,1,release,29.899722,-81.301944,29.89944444,-81.29888889,296.441624
278,blue 6,Ae. aegypti - Blue,5/22/2018,5/15/2018,male,Ae. Aegypti,blue,6,0,7,release,29.899722,-81.301944,29.89944444,-81.29888889,296.441624
280,blue 6,Ae. aegypti - Blue,5/18/2018,5/15/2018,male,Ae. Aegypti,blue,6,0,3,release,29.899722,-81.301944,29.89944444,-81.29888889,296.441624
300,blue 7,Ae. aegypti - Blue,5/30/2018,5/15/2018,male,Ae. Aegypti,blue,7,0,15,release,29.899722,-81.301944,29.89833333,-81.29916667,309.4068369
308,blue 7,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,7,0,9,release,29.899722,-81.301944,29.89833333,-81.29916667,309.4068369
310,blue 7,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,7,1,1,release,29.899722,-81.301944,29.89833333,-81.29916667,309.4068369
313,blue 7,Ae. aegypti - Blue,5/22/2018,5/15/2018,male,Ae. Aegypti,blue,7,0,7,release,29.899722,-81.301944,29.89833333,-81.29916667,309.4068369
315,blue 7,Ae. aegypti - Blue,5/18/2018,5/15/2018,male,Ae. Aegypti,blue,7,1,3,release,29.899722,-81.301944,29.89833333,-81.29916667,309.4068369
335,blue 8,Ae. aegypti - Blue,5/30/2018,5/15/2018,male,Ae. Aegypti,blue,8,0,15,release,29.899722,-81.301944,29.89944444,-81.30027778,163.7367791
343,blue 8,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,8,0,9,release,29.899722,-81.301944,29.89944444,-81.30027778,163.7367791
345,blue 8,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,8,0,1,release,29.899722,-81.301944,29.89944444,-81.30027778,163.7367791
348,blue 8,Ae. aegypti - Blue,5/22/2018,5/15/2018,male,Ae. Aegypti,blue,8,0,7,release,29.899722,-81.301944,29.89944444,-81.30027778,163.7367791
350,blue 8,Ae. aegypti - Blue,5/18/2018,5/15/2018,male,Ae. Aegypti,blue,8,6,3,release,29.899722,-81.301944,29.89944444,-81.30027778,163.7367791
370,blue 9,Ae. aegypti - Blue,5/30/2018,5/15/2018,male,Ae. Aegypti,blue,9,0,15,release,29.899722,-81.301944,29.89888889,-81.30111111,122.7246941
378,blue 9,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,9,0,9,release,29.899722,-81.301944,29.89888889,-81.30111111,122.7246941
380,blue 9,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,9,0,1,release,29.899722,-81.301944,29.89888889,-81.30111111,122.7246941
383,blue 9,Ae. aegypti - Blue,5/22/2018,5/15/2018,male,Ae. Aegypti,blue,9,0,7,release,29.899722,-81.301944,29.89888889,-81.30111111,122.7246941
385,blue 9,Ae. aegypti - Blue,5/18/2018,5/15/2018,male,Ae. Aegypti,blue,9,0,3,release,29.899722,-81.301944,29.89888889,-81.30111111,122.7246941
393,green 1,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,1,0,1,release,29.899837,-81.299867,29.89916667,-81.30333333,342.7331403
401,green 1,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,1,0,9,release,29.899837,-81.299867,29.89916667,-81.30333333,342.7331403
407,green 1,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,1,0,3,release,29.899837,-81.299867,29.89916667,-81.30333333,342.7331403
408,green 1,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,1,0,7,release,29.899837,-81.299867,29.89916667,-81.30333333,342.7331403
415,green 1,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,1,0,15,release,29.899837,-81.299867,29.89916667,-81.30333333,342.7331403
428,green 10,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,10,0,1,release,29.899837,-81.299867,29.8975,-81.30138889,298.7476825
436,green 10,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,10,0,9,release,29.899837,-81.299867,29.8975,-81.30138889,298.7476825
442,green 10,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,10,0,3,release,29.899837,-81.299867,29.8975,-81.30138889,298.7476825
443,green 10,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,10,0,7,release,29.899837,-81.299867,29.8975,-81.30138889,298.7476825
450,green 10,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,10,0,15,release,29.899837,-81.299867,29.8975,-81.30138889,298.7476825
463,green 11,Ae. aegypti - Green,5/16/2018,5/15/2018,male,Ae. Aegypti,green,11,0,1,release,29.899837,-81.299867,29.89777778,-81.29944444,232.8301785
471,green 11,Ae. aegypti - Green,5/24/2018,5/15/2018,male,Ae. Aegypti,green,11,0,9,release,29.899837,-81.299867,29.89777778,-81.29944444,232.8301785
477,green 11,Ae. aegypti - Green,5/18/2018,5/15/2018,male,Ae. Aegypti,green,11,0,3,release,29.899837,-81.299867,29.89777778,-81.29944444,232.8301785
478,green 11,Ae. aegypti - Green,5/22/2018,5/15/2018,male,Ae. Aegypti,green,11,0,7,release,29.899837,-81.299867,29.89777778,-81.29944444,232.8301785
485,green 11,Ae. aegypti - Green,5/30/2018,5/15/2018,male,Ae. Aegypti,green,11,0,15,release,29.899837,-81.299867,29.89777778,-81.29944444,232.8301785
